date,away_team,home_team,home_wins,home_recent_form,away_recent_form,form_advantage,home_recent_games,away_recent_games,h2h_home_advantage,home_run_diff,away_run_diff,run_diff_advantage,home_field
2025-08-20,New York Yankees,Tampa Bay Rays,0,0.3333333333333333,1.0,-0.6666666666666667,3,3,0.0,-5.0,6.0,-11.0,1
2025-08-20,Chicago White Sox,Atlanta Braves,1,0.75,0.25,0.5,4,4,0.5,1.75,-1.25,3.0,1
2025-08-20,New York Mets,Washington Nationals,1,0.3333333333333333,1.0,-0.6666666666666667,3,3,0.0,-2.3333333333333335,4.333333333333333,-6.666666666666666,1
2025-08-20,St. Louis Cardinals,Miami Marlins,1,0.25,0.5,-0.25,4,4,0.0,-2.0,0.0,-2.0,1
2025-08-20,Cincinnati Reds,Los Angeles Angels,1,0.25,0.75,-0.5,4,4,0.0,-1.0,1.25,-2.25,1
2025-08-20,Houston Astros,Detroit Tigers,1,0.75,0.25,0.5,4,4,1.0,1.75,-5.5,7.25,1
2025-08-20,Toronto Blue Jays,Pittsburgh Pirates,1,0.25,0.5,-0.25,4,4,0.5,-1.0,1.75,-2.75,1
2025-08-20,Seattle Mariners,Philadelphia Phillies,1,0.75,0.0,0.75,4,4,1.0,1.75,-3.25,5.0,1
2025-08-21,Athletics,Minnesota Twins,0,0.25,0.75,-0.5,4,4,0.0,-0.25,1.0,-1.25,1
2025-08-21,Milwaukee Brewers,Chicago Cubs,0,0.8333333333333334,0.3333333333333333,0.5,6,6,0.75,0.3333333333333333,0.16666666666666666,0.16666666666666666,1
2025-08-21,Los Angeles Dodgers,Colorado Rockies,0,0.8,0.6,0.20000000000000007,5,5,0.6666666666666666,0.6,1.6,-1.0,1
2025-08-21,Texas Rangers,Kansas City Royals,1,0.8,0.4,0.4,5,5,0.6666666666666666,1.8,-1.4,3.2,1
2025-08-21,San Francisco Giants,San Diego Padres,1,0.4,0.4,0.0,5,5,0.6666666666666666,0.6,-1.0,1.6,1
2025-08-21,Houston Astros,Baltimore Orioles,0,0.75,0.2,0.55,4,5,0.5,3.75,-5.4,9.15,1
2025-08-21,Boston Red Sox,New York Yankees,0,1.0,0.25,0.75,4,4,0.5,5.0,-1.0,6.0,1
2025-08-21,St. Louis Cardinals,Tampa Bay Rays,0,0.25,0.4,-0.15000000000000002,4,5,0.5,-4.25,-0.8,-3.45,1
2025-08-21,New York Mets,Washington Nationals,1,0.5,0.75,-0.25,4,4,0.5,-1.5,3.0,-4.5,1
2025-08-22,Toronto Blue Jays,Miami Marlins,0,0.4,0.4,0.0,5,5,0.5,-0.8,1.2,-2.0,1
2025-08-22,Colorado Rockies,Pittsburgh Pirates,1,0.4,0.6666666666666666,-0.2666666666666666,5,6,0.5,-0.6,-0.16666666666666666,-0.43333333333333335,1
2025-08-22,Washington Nationals,Philadelphia Phillies,0,0.8,0.6,0.20000000000000007,5,5,0.5,3.2,0.0,3.2,1
2025-08-22,Houston Astros,Baltimore Orioles,0,0.6,0.3333333333333333,0.26666666666666666,5,6,0.3333333333333333,2.0,-3.6666666666666665,5.666666666666666,1
2025-08-22,Boston Red Sox,New York Yankees,0,0.8,0.4,0.4,5,5,0.0,3.4,-0.2,3.6,1
2025-08-22,Kansas City Royals,Detroit Tigers,1,0.8,0.8333333333333334,-0.033333333333333326,5,6,0.5,2.4,1.8333333333333333,0.5666666666666667,1
2025-08-22,New York Mets,Atlanta Braves,0,0.8,0.6,0.20000000000000007,5,5,0.5,1.6,1.2,0.40000000000000013,1
2025-08-22,Cleveland Guardians,Texas Rangers,1,0.3333333333333333,0.2,0.1333333333333333,6,5,0.5,-1.5,-2.0,0.5,1
2025-08-22,Minnesota Twins,Chicago White Sox,0,0.2,0.2,0.0,5,5,0.5,-1.2,-1.2,0.0,1
2025-08-22,San Francisco Giants,Milwaukee Brewers,1,0.42857142857142855,0.3333333333333333,0.09523809523809523,7,6,0.5,0.5714285714285714,-1.5,2.071428571428571,1
2025-08-22,Chicago Cubs,Los Angeles Angels,0,0.4,0.7142857142857143,-0.3142857142857143,5,7,0.5,-0.6,-0.14285714285714285,-0.45714285714285713,1
2025-08-22,Cincinnati Reds,Arizona Diamondbacks,1,0.4,0.6,-0.19999999999999996,5,5,0.5,-0.8,0.8,-1.6,1
2025-08-22,Los Angeles Dodgers,San Diego Padres,1,0.5,0.6666666666666666,-0.16666666666666663,6,6,0.0,1.1666666666666667,2.0,-0.8333333333333333,1
2025-08-22,Athletics,Seattle Mariners,1,0.0,0.8,-0.8,5,5,0.5,-4.4,1.8,-6.2,1
