date,away_team,home_team,away_score,home_score,home_wins,away_batting_avg,away_on_base_pct,away_slugging,away_runs_per_game,away_era,away_whip,home_batting_avg,home_on_base_pct,home_slugging,home_runs_per_game,home_era,home_whip,batting_avg_diff,era_diff,runs_per_game_diff
2025-08-25,San Diego Padres,Seattle Mariners,6,9,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Cincinnati Reds,Los Angeles Dodgers,0,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Colorado Rockies,Pittsburgh Pirates,0,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,St. Louis Cardinals,Tampa Bay Rays,2,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Houston Astros,Baltimore Orioles,2,3,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Washington Nationals,Philadelphia Phillies,2,3,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,New York Mets,Atlanta Braves,3,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Kansas City Royals,Detroit Tigers,10,8,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Toronto Blue Jays,Miami Marlins,3,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Minnesota Twins,Chicago White Sox,0,8,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,San Francisco Giants,Milwaukee Brewers,4,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Cleveland Guardians,Texas Rangers,0,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Chicago Cubs,Los Angeles Angels,4,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Cincinnati Reds,Arizona Diamondbacks,6,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Los Angeles Dodgers,San Diego Padres,8,2,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-24,Boston Red Sox,New York Yankees,2,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Boston Red Sox,New York Yankees,12,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Toronto Blue Jays,Miami Marlins,7,6,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Washington Nationals,Philadelphia Phillies,4,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Kansas City Royals,Detroit Tigers,2,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Colorado Rockies,Pittsburgh Pirates,1,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Houston Astros,Baltimore Orioles,9,8,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Cleveland Guardians,Texas Rangers,0,10,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Minnesota Twins,Chicago White Sox,3,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,San Francisco Giants,Milwaukee Brewers,7,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,New York Mets,Atlanta Braves,9,2,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Cincinnati Reds,Arizona Diamondbacks,1,10,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Los Angeles Dodgers,San Diego Padres,1,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-23,Chicago Cubs,Los Angeles Angels,12,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Colorado Rockies,Pittsburgh Pirates,0,9,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Washington Nationals,Philadelphia Phillies,5,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Houston Astros,Baltimore Orioles,10,7,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Boston Red Sox,New York Yankees,1,0,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Kansas City Royals,Detroit Tigers,5,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Toronto Blue Jays,Miami Marlins,5,2,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,New York Mets,Atlanta Braves,12,7,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,St. Louis Cardinals,Tampa Bay Rays,6,10,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Minnesota Twins,Chicago White Sox,9,7,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Cleveland Guardians,Texas Rangers,3,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,San Francisco Giants,Milwaukee Brewers,4,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Chicago Cubs,Los Angeles Angels,3,2,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Cincinnati Reds,Arizona Diamondbacks,5,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-22,Los Angeles Dodgers,San Diego Padres,1,2,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-21,Texas Rangers,Kansas City Royals,4,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-21,Milwaukee Brewers,Chicago Cubs,4,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-21,Los Angeles Dodgers,Colorado Rockies,9,5,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-21,New York Mets,Washington Nationals,3,9,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-21,San Francisco Giants,San Diego Padres,4,8,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-21,Houston Astros,Baltimore Orioles,7,2,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-21,Boston Red Sox,New York Yankees,6,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-21,St. Louis Cardinals,Tampa Bay Rays,7,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Toronto Blue Jays,Pittsburgh Pirates,1,2,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Seattle Mariners,Philadelphia Phillies,2,11,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Houston Astros,Detroit Tigers,2,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Cleveland Guardians,Arizona Diamondbacks,2,3,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,St. Louis Cardinals,Miami Marlins,2,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,New York Mets,Washington Nationals,4,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Chicago White Sox,Atlanta Braves,0,1,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,New York Yankees,Tampa Bay Rays,6,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Texas Rangers,Kansas City Royals,6,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Milwaukee Brewers,Chicago Cubs,3,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Los Angeles Dodgers,Colorado Rockies,3,8,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,Cincinnati Reds,Los Angeles Angels,1,2,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-20,San Francisco Giants,San Diego Padres,1,8,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Milwaukee Brewers,Chicago Cubs,4,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Milwaukee Brewers,Chicago Cubs,1,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Houston Astros,Detroit Tigers,0,1,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Toronto Blue Jays,Pittsburgh Pirates,7,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,St. Louis Cardinals,Miami Marlins,7,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,New York Mets,Washington Nationals,8,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Seattle Mariners,Philadelphia Phillies,4,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Baltimore Orioles,Boston Red Sox,4,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Chicago White Sox,Atlanta Braves,10,11,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,New York Yankees,Tampa Bay Rays,13,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Texas Rangers,Kansas City Royals,2,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Los Angeles Dodgers,Colorado Rockies,11,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Cincinnati Reds,Los Angeles Angels,6,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,Cleveland Guardians,Arizona Diamondbacks,5,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-19,San Francisco Giants,San Diego Padres,1,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Milwaukee Brewers,Chicago Cubs,7,0,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Houston Astros,Detroit Tigers,0,10,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Toronto Blue Jays,Pittsburgh Pirates,2,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,St. Louis Cardinals,Miami Marlins,8,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Seattle Mariners,Philadelphia Phillies,7,12,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Baltimore Orioles,Boston Red Sox,6,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Chicago White Sox,Atlanta Braves,13,9,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Texas Rangers,Kansas City Royals,3,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Los Angeles Dodgers,Colorado Rockies,3,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Cincinnati Reds,Los Angeles Angels,4,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,Cleveland Guardians,Arizona Diamondbacks,3,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-18,San Francisco Giants,San Diego Padres,4,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Philadelphia Phillies,Washington Nationals,11,9,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Miami Marlins,Boston Red Sox,5,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Texas Rangers,Toronto Blue Jays,10,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Atlanta Braves,Cleveland Guardians,5,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Milwaukee Brewers,Cincinnati Reds,2,3,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Baltimore Orioles,Houston Astros,12,0,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Detroit Tigers,Minnesota Twins,1,8,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Chicago White Sox,Kansas City Royals,2,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,New York Yankees,St. Louis Cardinals,8,4,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Pittsburgh Pirates,Chicago Cubs,3,4,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Arizona Diamondbacks,Colorado Rockies,5,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Tampa Bay Rays,San Francisco Giants,1,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,San Diego Padres,Los Angeles Dodgers,4,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-17,Seattle Mariners,New York Mets,3,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Pittsburgh Pirates,Chicago Cubs,1,3,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Texas Rangers,Toronto Blue Jays,2,14,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Philadelphia Phillies,Washington Nationals,0,2,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Seattle Mariners,New York Mets,1,3,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Miami Marlins,Boston Red Sox,5,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Milwaukee Brewers,Cincinnati Reds,6,5,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Baltimore Orioles,Houston Astros,4,5,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Atlanta Braves,Cleveland Guardians,10,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Chicago White Sox,Kansas City Royals,2,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Detroit Tigers,Minnesota Twins,8,5,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,New York Yankees,St. Louis Cardinals,12,8,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Arizona Diamondbacks,Colorado Rockies,7,10,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,Tampa Bay Rays,San Francisco Giants,2,1,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-16,San Diego Padres,Los Angeles Dodgers,0,6,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
