date,season,home_team,away_team,home_wins,home_win_rate,away_win_rate,win_rate_advantage,home_runs_per_game,away_runs_per_game,home_runs_allowed_per_game,away_runs_allowed_per_game,offensive_advantage,defensive_advantage,home_run_differential,away_run_differential,run_diff_advantage,h2h_advantage,is_early_season,is_late_season,home_field
2022-04-12,2022,San Francisco Giants,San Diego Padres,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-12,2022,Los Angeles Angels,Miami Marlins,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-12,2022,Tampa Bay Rays,Oakland Athletics,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-13,2022,Minnesota Twins,Los Angeles Dodgers,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-13,2022,Baltimore Orioles,Milwaukee Brewers,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-13,2022,Chicago White Sox,Seattle Mariners,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-13,2022,Tampa Bay Rays,Oakland Athletics,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-13,2022,San Francisco Giants,San Diego Padres,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-13,2022,Arizona Diamondbacks,Houston Astros,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-13,2022,Detroit Tigers,Boston Red Sox,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-13,2022,New York Yankees,Toronto Blue Jays,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
