date,away_team,home_team,home_wins,temperature,wind_speed,humidity,is_dome,month,home_rest_days,away_rest_days,rest_advantage,home_games_last_week,away_games_last_week,fatigue_advantage,home_recent_offense,away_recent_offense,home_recent_defense,away_recent_defense,offensive_advantage,defensive_advantage,travel_factor,home_field
2025-08-18,Houston Astros,Detroit Tigers,1,75,5,60,0,8,1,1,0,2,2,0,4.5,2.5,6.5,8.0,2.0,1.5,1,1
2025-08-18,St. Louis Cardinals,Miami Marlins,0,90,5,60,0,8,1,1,0,2,2,0,5.0,6.0,5.0,10.0,-1.0,5.0,1,1
2025-08-18,Seattle Mariners,Philadelphia Phillies,1,80,5,60,0,8,1,1,0,2,2,0,5.5,2.0,5.5,5.0,3.5,-0.5,1,1
2025-08-18,Baltimore Orioles,Boston Red Sox,0,75,16,60,0,8,1,1,0,2,2,0,5.0,8.0,5.0,2.5,-3.0,-2.5,1,1
2025-08-18,Toronto Blue Jays,Pittsburgh Pirates,1,80,5,60,0,8,1,1,0,2,2,0,2.0,9.0,3.5,6.0,-7.0,2.5,1,1
2025-08-18,Texas Rangers,Kansas City Royals,1,80,5,60,0,8,1,1,0,2,2,0,6.0,6.0,2.0,9.0,0.0,7.0,1,1
2025-08-18,San Francisco Giants,San Diego Padres,0,80,5,60,0,8,1,1,0,2,2,0,2.0,4.0,5.5,1.5,-2.0,-4.0,0,1
2025-08-18,Cleveland Guardians,Arizona Diamondbacks,0,90,5,60,0,8,1,1,0,2,2,0,6.0,2.5,8.0,7.5,3.5,-0.5,1,1
2025-08-18,Chicago White Sox,Atlanta Braves,0,80,5,60,0,8,1,1,0,2,2,0,7.5,2.0,2.5,6.0,5.5,3.5,1,1
2025-08-18,Los Angeles Dodgers,Colorado Rockies,1,80,5,60,0,8,1,1,0,2,2,0,8.0,5.5,6.0,2.0,2.5,-4.0,1,1
2025-08-18,Cincinnati Reds,Los Angeles Angels,0,80,5,60,0,8,1,1,0,2,2,0,6.5,4.0,6.0,4.0,2.5,-2.0,1,1
2025-08-19,Milwaukee Brewers,Chicago Cubs,1,75,18,60,0,8,1,1,0,3,3,0,2.3333333333333335,5.0,3.6666666666666665,2.6666666666666665,-2.6666666666666665,-1.0,1,1
2025-08-19,Milwaukee Brewers,Chicago Cubs,1,75,18,60,0,8,1,1,0,3,3,0,2.3333333333333335,5.0,3.6666666666666665,2.6666666666666665,-2.6666666666666665,-1.0,1,1
2025-08-19,Toronto Blue Jays,Pittsburgh Pirates,0,80,5,60,0,8,1,1,0,3,3,0,3.0,6.666666666666667,3.0,5.666666666666667,-3.666666666666667,2.666666666666667,1,1
2025-08-19,New York Mets,Washington Nationals,0,80,5,60,0,8,2,2,0,2,2,0,5.5,5.0,5.5,2.0,0.5,-3.5,1,1
2025-08-19,Seattle Mariners,Philadelphia Phillies,1,80,5,60,0,8,1,1,0,3,3,0,7.666666666666667,3.6666666666666665,6.0,7.333333333333333,4.0,1.333333333333333,1,1
2025-08-19,Baltimore Orioles,Boston Red Sox,0,75,19,60,0,8,1,1,0,3,3,0,4.333333333333333,7.333333333333333,5.333333333333333,2.6666666666666665,-3.0,-2.6666666666666665,1,1
2025-08-19,Houston Astros,Detroit Tigers,1,75,5,60,0,8,1,1,0,3,3,0,6.333333333333333,1.6666666666666667,4.333333333333333,8.666666666666666,4.666666666666666,4.333333333333333,1,1
2025-08-19,New York Yankees,Tampa Bay Rays,0,77,0,55,1,8,2,2,0,2,2,0,1.5,10.0,4.0,6.0,-8.5,2.0,1,1
2025-08-19,Chicago White Sox,Atlanta Braves,1,80,5,60,0,8,1,1,0,3,3,0,8.0,5.666666666666667,6.0,7.0,2.333333333333333,1.0,1,1
2025-08-19,San Francisco Giants,San Diego Padres,1,80,5,60,0,8,1,1,0,3,3,0,2.3333333333333335,4.0,5.0,2.0,-1.6666666666666665,-3.0,0,1
2025-08-19,Cleveland Guardians,Arizona Diamondbacks,1,90,5,60,0,8,1,1,0,3,3,0,4.333333333333333,2.6666666666666665,6.333333333333333,5.333333333333333,1.6666666666666665,-1.0,1,1
2025-08-19,Cincinnati Reds,Los Angeles Angels,0,80,5,60,0,8,1,1,0,3,3,0,4.666666666666667,4.0,5.333333333333333,3.0,0.666666666666667,-2.333333333333333,1,1
2025-08-19,St. Louis Cardinals,Miami Marlins,0,90,5,60,0,8,1,1,0,3,3,0,4.333333333333333,6.666666666666667,6.0,7.666666666666667,-2.333333333333334,1.666666666666667,1,1
2025-08-19,Athletics,Minnesota Twins,0,77,0,55,1,8,2,2,0,2,2,0,6.5,6.0,4.5,6.5,0.5,2.0,1,1
2025-08-19,Texas Rangers,Kansas City Royals,1,80,5,60,0,8,1,1,0,3,3,0,5.333333333333333,5.0,2.3333333333333335,7.333333333333333,0.33333333333333304,5.0,1,1
2025-08-19,Los Angeles Dodgers,Colorado Rockies,0,80,5,60,0,8,1,1,0,3,3,0,6.666666666666667,4.666666666666667,5.0,2.6666666666666665,2.0,-2.3333333333333335,1,1
2025-08-20,Cleveland Guardians,Arizona Diamondbacks,1,90,5,60,0,8,1,1,0,4,4,0,4.75,3.25,6.0,5.5,1.5,-0.5,1,1
2025-08-20,San Francisco Giants,San Diego Padres,1,80,5,60,0,8,1,1,0,4,4,0,3.0,3.25,4.0,2.75,-0.25,-1.25,0,1
2025-08-20,Los Angeles Dodgers,Colorado Rockies,1,80,5,60,0,8,1,1,0,4,4,0,6.0,6.25,6.5,3.0,-0.25,-3.5,1,1
2025-08-20,Milwaukee Brewers,Chicago Cubs,1,75,10,60,0,8,1,1,0,5,5,0,3.4,4.0,3.2,3.6,-0.6000000000000001,0.3999999999999999,1,1
2025-08-20,Athletics,Minnesota Twins,0,77,0,55,1,8,1,1,0,3,3,0,5.333333333333333,6.0,5.0,5.333333333333333,-0.666666666666667,0.33333333333333304,1,1
2025-08-20,Texas Rangers,Kansas City Royals,0,80,5,60,0,8,1,1,0,4,4,0,5.25,4.25,2.25,6.75,1.0,4.5,1,1
2025-08-20,New York Yankees,Tampa Bay Rays,0,77,0,55,1,8,1,1,0,3,3,0,2.0,11.0,7.0,5.0,-9.0,-2.0,1,1
2025-08-20,Chicago White Sox,Atlanta Braves,1,80,5,60,0,8,1,1,0,4,4,0,8.75,6.75,7.0,8.0,2.0,1.0,1,1
2025-08-20,New York Mets,Washington Nationals,1,80,5,60,0,8,1,1,0,3,3,0,4.0,6.0,6.333333333333333,1.6666666666666667,-2.0,-4.666666666666666,1,1
2025-08-20,St. Louis Cardinals,Miami Marlins,1,90,5,60,0,8,1,1,0,4,4,0,4.25,6.75,6.25,6.75,-2.5,0.5,1,1
2025-08-20,Cincinnati Reds,Los Angeles Angels,1,80,5,60,0,8,1,1,0,4,4,0,4.5,4.5,5.5,3.25,0.0,-2.25,1,1
2025-08-20,Houston Astros,Detroit Tigers,1,75,5,60,0,8,1,1,0,4,4,0,5.0,1.25,3.25,6.75,3.75,3.5,1,1
2025-08-20,Toronto Blue Jays,Pittsburgh Pirates,1,80,5,60,0,8,1,1,0,4,4,0,3.0,6.75,4.0,5.0,-3.75,1.0,1,1
2025-08-20,Seattle Mariners,Philadelphia Phillies,1,80,5,60,0,8,1,1,0,4,4,0,7.25,3.75,5.5,7.0,3.5,1.5,1,1
2025-08-21,Athletics,Minnesota Twins,0,77,0,55,1,8,1,1,0,4,4,0,4.5,5.5,4.75,4.5,-1.0,-0.25,1,1
2025-08-21,Milwaukee Brewers,Chicago Cubs,0,75,11,60,0,8,1,1,0,6,6,0,3.6,3.4,3.6,3.4,0.20000000000000018,-0.20000000000000018,1,1
2025-08-21,Los Angeles Dodgers,Colorado Rockies,0,80,5,60,0,8,1,1,0,5,5,0,6.4,5.6,5.8,4.0,0.8000000000000007,-1.7999999999999998,1,1
